"District.Name","Subdistrict.Name","Facility.Name","Latitude","Longitude","newDist"
"East Khasi Hills","Shella Bholaganj Block","Ichamati CHC",25.16863611,91.69027778,4
"West Jaintia Hills","Amlarem Block","Nongtalang CHC",25.21,92.06,9
"South West Khasi Hills","Ranikor Block","Ranikor CHC",25.21,91.24,8
"West Garo Hills","Dalu Block","Dalu CHC",25.24,90.2,7
"South West Garo Hills","Zikzak Block","Mahendraganj CHC",25.29835278,89.86388889,11
"East Khasi Hills","Pynursla Block","Pynursla CHC",25.31,91.89,4
"South Garo Hills","Chokpot Block","Chokpot CHC",25.35,90.42,7
"East Jaintia Hills","Saipung Block","Sutnga CHC",25.35,92.12,9
"East Khasi Hills","Shella Bholaganj Block","Sohra CHC",25.36,91.72,4
"South West Khasi Hills","Mawkyrwat Block","Mawkyrwat CHC",25.36,91.49,4
"East Jaintia Hills","Khliehriat Block","Khliehriat CHC",25.37,92.42,9
"South West Garo Hills","Betasing Block","Ampati CHC",25.47,89.92,11
"East Khasi Hills","Mylliem Block","Mawiong CHC",25.5,91.84,4
"East Khasi Hills","Mawphlang Block","Sohiong CHC",25.50972222,91.71722222,4
"West Jaintia Hills","Laskein Block","Laskein CHC",25.51605833,92.41141389,9
"West Jaintia Hills","Thadlaskein Block","Ummulong CHC",25.53,92.13,9
"West Garo Hills","Dalu Block","Allagre CHC",25.59,90.23,2
"East Khasi Hills","Mawsynram Block","Mawsynram CHC",25.59,91.49,8
"West Khasi Hills","Mawshynrut Block","Riangdo CHC",25.67,91.06,6
"West Khasi Hills","Mairang Block","Nongkhlaw CHC",25.68709444,91.63777778,3
"West Garo Hills","Selsella Block","Selsella CHC",25.69,90.02,2
"West Garo Hills","Dadenggiri Block","Dadenggre CHC",25.7,90.2,2
"Ri Bhoi","Umsning Block","Bhoirymbong CHC",25.70835833,92.02166667,3
"Ri Bhoi","Umsning Block","Umsning CHC",25.74,91.88,3
"North Garo Hills","Resubelpara Block","Resubelpara CHC",25.84,90.49,1
"East Garo Hills","Dambo Rongjeng Block","Rongjeng CHC",25.86,90.98,6
"West Garo Hills","Selsella Block","Phulbari CHC",25.88835278,90.03694444,5
"Ri Bhoi","Jirang Block","Patharkhmah CHC",25.9,91.61,3
"South Garo Hills","Baghmara Block","Baghmara Civil Hospital",25.19869444,90.63083333,10
"East Khasi Hills","Urban Block","Military Hospital",25.33,91.52,4
"East Khasi Hills","Urban Block","NEIGRIHMS",25.35,91.56,4
"West Jaintia Hills","Urban Block","Jowai Civil Hospital",25.46783333,92.26083333,9
"West Garo Hills","Tura Urban Block","Tura Maternity and Child Hospital",25.5,90.22,7
"West Khasi Hills","Nongstoin Block","Nongstoin DH",25.51,91.29,8
"West Garo Hills","Tura Urban Block","Tura Civil Hospital",25.51444722,90.20333333,2
"East Garo Hills","Urban Block","Williamnagar Civil Hospital",25.52,90.63,10
"West Khasi Hills","Mairang Block","Mairang DH",25.56,91.63,4
"East Khasi Hills","Urban Block","Ganesh Das Hospital",25.58,91.87,3
"East Khasi Hills","Urban Block","Shillong Civil Hospital",25.58,91.87,3
"Ri Bhoi","Umling Block","Nongpoh DH",25.9,91.9,3
"East Jaintia Hills","Khliehriat Block","Umkiang PHC",25.06222222,92.38444444,9
"East Khasi Hills","Mawsynram Block","Ryngku PHC",25.16747222,91.55833333,4
"East Jaintia Hills","Khliehriat Block","Lumshnong PHC",25.18416667,92.37638889,9
"South Garo Hills","Rongara Block","Moheskola PHC",25.18558056,90.96666667,10
"South Garo Hills","Rongara Block","Rongara PHC",25.185806,90.966778,10
"West Jaintia Hills","Amlarem Block","Dawki PHC",25.19027778,92.02,9
"East Khasi Hills","Mawsynram Block","Dangar PHC",25.19119444,91.38333333,8
"East Khasi Hills","Shella Bholaganj Block","Shella PHC",25.19473889,91.63666667,4
"East Khasi Hills","Pynursla Block","Wahsherkhmut  PHC",25.2064,91.86111111,4
"East Khasi Hills","Shella Bholaganj Block","Sohbar PHC",25.20833611,91.74472222,4
"East Khasi Hills","Shella Bholaganj Block","Laitkynsew PHC",25.21751389,91.65333333,4
"East Khasi Hills","Shella Bholaganj Block","Mawlong PHC",25.21806111,91.69416667,4
"East Jaintia Hills","Khliehriat Block","Bataw PHC",25.22458333,92.24888889,9
"West Jaintia Hills","Amlarem Block","Pdengshakap PHC",25.23316667,92.14972222,9
"East Khasi Hills","Pynursla Block","Pongtung PHC",25.24973611,91.94944444,4
"East Khasi Hills","Pynursla Block","Mawkliaw PHC",25.25,91.81,4
"South Garo Hills","Gasuapara Block","Sibbari PHC",25.256556,90.506222,7
"South Garo Hills","Chokpot Block","Silkigre PHC",25.25761111,90.47194444,7
"East Khasi Hills","Shella Bholaganj Block","Mawsahew PHC",25.26138889,91.64527778,4
"West Jaintia Hills","Amlarem Block","Padu St Dispy",25.28361111,92.03527778,9
"South West Khasi Hills","Mawkyrwat Block","Rangthong PHC",25.29,91.26,8
"West Garo Hills","Dalu Block","Purakhasia PHC",25.29694444,90.00916667,11
"East Khasi Hills","Laitkroh Block","Khatarshnong Khrang PHC",25.31,91.77,4
"West Jaintia Hills","Amlarem Block","Jarain PHC",25.32094444,92.13333333,9
"East Khasi Hills","Laitkroh Block","Laitryngew PHC",25.32927778,91.73361111,4
"East Jaintia Hills","Saipung Block","Saipung PHC",25.33652778,92.62,9
"East Jaintia Hills","Khliehriat Block","Rymbai PHC",25.33902778,92.32833333,9
"West Garo Hills","Dalu Block","Kherapara PHC",25.34390278,90.21583333,7
"South West Khasi Hills","Mawkyrwat Block","Mawthawpdah PHC",25.35,91.29,8
"East Khasi Hills","Urban Block","Jaiaw UHC",25.35,91.52,4
"South West Garo Hills","Zikzak Block","Nogorpara PHC",25.350575,89.84972222,11
"South Garo Hills","Baghmara Block","Siju PHC",25.35335833,90.65666667,10
"West Garo Hills","Tura Urban Block","Sampalgre UHC",25.38,90.2,7
"South West Garo Hills","Zikzak Block","Zikzak PHC",25.3914,89.905,11
"East Khasi Hills","Mawkynrew Block","Jatah PHC",25.40416667,92.05194444,9
"East Jaintia Hills","Khliehriat Block","Wapung Pamra PHC",25.40913889,92.31444444,9
"East Khasi Hills","Laitkroh Block","Swer PHC",25.41,91.8,4
"South West Garo Hills","Zikzak Block","Salmanpara PHC",25.41416667,89.98777778,11
"West Khasi Hills","Mawthadraishan Block","Pariong PHC",25.42,91.44,8
"East Khasi Hills","Urban Block","Nongthymmai UHC",25.42,91.71,4
"West Khasi Hills","Nongstoin Block","Maweit PHC",25.43,91.07,8
"West Jaintia Hills","Urban Block","Chutwakhu UHC",25.43,92.19,9
"East Khasi Hills","Mawkynrew Block","Mawkynrew  PHC",25.44055556,91.99111111,3
"South West Garo Hills","Zikzak Block","Kalaichar PHC",25.44388889,89.84138889,11
"East Khasi Hills","Laitkroh Block","Laitlyngkot PHC",25.44501944,91.84194444,4
"West Khasi Hills","Mairang Block","Dongki Ingding PHC",25.45,91.4,8
"West Jaintia Hills","Urban Block","Ladthalaboh UHC",25.45,92.19,9
"South Garo Hills","Baghmara Block","Nangalbibra PHC",25.45308056,90.71361111,10
"East Khasi Hills","Mawphlang Block","Nongspung PHC",25.45619444,91.60861111,4
"East Khasi Hills","Mawkynrew Block","Jongksha PHC",25.47,91.97,3
"South West Garo Hills","Betasing Block","Mellim PHC",25.47419167,90.08861111,11
"West Jaintia Hills","Laskein Block","Shangpung PHC",25.47513889,92.35388889,9
"West Jaintia Hills","Thadlaskein Block","Khliehtyrshi PHC",25.47605556,92.17638889,9
"West Garo Hills","Tura Urban Block","Matchakolgre UHC",25.5,90.19,2
"East Khasi Hills","Mawryngkneng Block","Smit PHC",25.50391667,91.90194444,3
"East Garo Hills","Samanda Block","Samanda PHC",25.51,90.5,7
"West Jaintia Hills","Laskein Block","Iooksi PHC",25.51083333,92.58111111,9
"South West Garo Hills","Betasing Block","Betasing PHC",25.51666667,89.96055556,11
"West Jaintia Hills","Thadlaskein Block","Nangbah PHC",25.51833333,92.24555556,9
"West Khasi Hills","Mawthadraishan Block","Markasa PHC",25.52,91.44,8
"West Khasi Hills","Urban Block","Nongstoin UHC",25.52,91.26,8
"South West Garo Hills","Betasing Block","Rangsakona PHC",25.5275,90.03361111,2
"West Khasi Hills","Mawshynrut Block","Shallang PHC",25.52891111,90.8575,10
"East Khasi Hills","Mylliem Block","Pomlum PHC",25.52933333,91.81277778,3
"West Khasi Hills","Mawthadraishan Block","Kynshi PHC",25.53,91.53,4
"East Khasi Hills","Mawphlang Block","Mawphlang PHC",25.53,91.77,4
"East Garo Hills","Samanda Block","Bansamgre PHC",25.53,90.45,7
"East Garo Hills","Songsak Block","Dobu PHC",25.53,90.72,10
"East Khasi Hills","Urban Block","Lower Mawprem UHC",25.54,91.74,4
"East Khasi Hills","Urban Block","Upper Mawprem UHC",25.54,91.74,4
"South West Garo Hills","Betasing Block","Belbari PHC",25.54305556,89.89055556,11
"West Khasi Hills","Mairang Block","Nongthliew PHC",25.55,91.69,4
"East Khasi Hills","Mawryngkneng Block","Mawryngkneng PHC",25.55,92.05,3
"East Khasi Hills","Urban Block","Lumparing UHC",25.55,91.88,3
"West Jaintia Hills","Laskein Block","Mynso PHC",25.55325,92.33083333,9
"West Jaintia Hills","Laskein Block","Sahsniang PHC",25.55491667,92.51805556,9
"East Khasi Hills","Urban Block","Laban St. Dispy",25.56,91.87,3
"East Khasi Hills","Urban Block","Shastri Memorial St.Dispy",25.56,91.85,3
"East Khasi Hills","Urban Block","Lady Kerr Welfare Centre",25.56,91.88,3
"Ri Bhoi","Jirang Block","Jirang St. Dispy",25.56,91.34,8
"East Khasi Hills","Urban Block","Bishnupur UHC",25.56,91.87,3
"East Khasi Hills","Urban Block","Dongkharmalki UHC",25.56,91.88,3
"East Khasi Hills","Urban Block","Madanrting UHC",25.56,91.91,3
"East Khasi Hills","Urban Block","Rynjah St. Dispy",25.57,91.91,3
"East Khasi Hills","Urban Block","Demseiniong UHC",25.57,91.9,3
"East Khasi Hills","Urban Block","Umsohsun UHC",25.57,91.87,3
"West Jaintia Hills","Thadlaskein Block","Nartiang PHC",25.57597222,92.22277778,9
"South West Garo Hills","Betasing Block","Garobadha PHC",25.579584,90.022217,2
"West Khasi Hills","Mawthadraishan Block","Myriaw PHC",25.58,91.47,8
"East Khasi Hills","Urban Block","Pynthorbah UHC",25.58,91.89,3
"West Garo Hills","Rongram Block","Asananggiri PHC",25.59,90.26,2
"East Khasi Hills","Urban Block","Nehru Memorial St.Dispy",25.59,91.88,3
"East Khasi Hills","Urban Block","Mawlai Nongkwar UHC",25.59,91.87,3
"East Khasi Hills","Urban Block","Mawpat UHC",25.59,91.92,3
"East Khasi Hills","Mylliem Block","Diengiei PHC",25.59147222,91.79027778,3
"East Khasi Hills","Mylliem Block","Mawroh PHC",25.597024,91.899018,3
"East Khasi Hills","Mawryngkneng Block","Diengpasoh PHC",25.59788889,92.03916667,3
"East Garo Hills","Samanda Block","Rongrengre St. Dispy",25.6,90.6,1
"West Garo Hills","Rongram Block","Babadam PHC",25.602562,90.125106,2
"West Jaintia Hills","Laskein Block","Barato PHC",25.60866667,92.44888889,9
"West Khasi Hills","Mairang Block","Wahrit PHC",25.62,91.55,4
"West Khasi Hills","Mairang Block","Maroid PHC",25.63,91.62,4
"West Khasi Hills","Mairang Block","Nongum PHC",25.63,91.48,8
"West Khasi Hills","Nongstoin Block","Rambrai PHC",25.64,91.34,8
"West Jaintia Hills","Thadlaskein Block","Namdong PHC",25.65636111,92.31388889,9
"Ri Bhoi","Umsning Block","Barapani St. Dispy",25.66,91.91,3
"East Khasi Hills","Mylliem Block","Mawsiat Khnam PHC",25.6653,91.97194444,3
"West Khasi Hills","Mawshynrut Block","Nonglang PHC",25.67,91.18,8
"Ri Bhoi","Umsning Block","Kyrdem PHC",25.69363056,92.07194444,3
"West Khasi Hills","Mairang Block","Kynrud PHC",25.71,91.51,8
"East Garo Hills","Songsak Block","Rongrong PHC",25.73,90.52,1
"North Garo Hills","Resubelpara Block","Gabil PHC",25.73,90.84,6
"North Garo Hills","Resubelpara Block","Rari PHC",25.73,90.84,6
"Ri Bhoi","Umsning Block","Mawlasnai PHC",25.73472222,92.15027778,3
"West Garo Hills","Selsella Block","Jeldupara PHC",25.73611389,89.92277778,2
"East Garo Hills","Songsak Block","Dagal PHC",25.77,90.52,1
"East Garo Hills","Dambo Rongjeng Block","Mangsang PHC",25.78,90.91,6
"West Garo Hills","Selsella Block","Bhaitbari PHC",25.79391111,89.9775,2
"East Garo Hills","Songsak Block","Songsak PHC",25.8,90.68,6
"Ri Bhoi","Umsning Block","Mawhati PHC",25.81363333,92.07888889,3
"West Khasi Hills","Mawshynrut Block","Aradonga PHC",25.82,91.15,6
"Ri Bhoi","Jirang Block","Warmawsaw PHC",25.82835278,91.53055556,3
"North Garo Hills","Kharkutta Block","Wageasi PHC",25.85,90.79,6
"North Garo Hills","Kharkutta Block","Adokgre PHC",25.86,90.98,6
"North Garo Hills","Resubelpara Block","Bajengdoba PHC",25.88,91.49,8
"Ri Bhoi","Umling Block","Marngar PHC",25.889994,91.931885,3
"North Garo Hills","Kharkutta Block","Kharkutta PHC",25.91,90.89,6
"North Garo Hills","Resubelpara Block","Mendipathar PHC",25.91,90.64,1
"North Garo Hills","Resubelpara Block","Dainadubi PHC",25.91,90.75,6
"West Garo Hills","Tikrikilla Block","Tikrikilla PHC",25.94,90.22,5
"West Garo Hills","Gambegre Block","Darengre PHC",25.95,90.32,5
"West Garo Hills","Tura Urban Block","Dobasipara UHC",25.96,90.23,5
"Ri Bhoi","Umling Block","Umden PHC",25.96333333,91.99611111,3
"West Garo Hills","Tikrikilla Block","Pedaldoba PHC",25.98,90.39,1
"North Garo Hills","Resubelpara Block","Sualmari PHC",25.98,90.47,1
"Ri Bhoi","Umsning Block","Umtrai PHC",26.00666667,92.13166667,3
"Ri Bhoi","Umling Block","Byrnihat PHC",26.03695556,91.86611111,3
"East Jaintia Hills","Khliehriat Block","Ratachera SC",25.03455556,92.44208333,9
"East Jaintia Hills","Khliehriat Block","Huroi SC",25.09061111,92.26438889,9
"East Jaintia Hills","Khliehriat Block","Sunapur SC",25.11,92.34,9
"West Jaintia Hills","Amlarem Block","Pyrsadwar SC",25.149222,92.207583,9
"East Jaintia Hills","Khliehriat Block","Nathbor SC",25.155719,92.228412,9
"East Khasi Hills","Mawsynram Block","Sonatola SC",25.16,91.45,4
"East Khasi Hills","Shella Bholaganj Block","Majai SC",25.16277222,91.74531389,4
"South Garo Hills","Gasuapara Block","Ramchengga SC",25.167472,90.433389,7
"West Jaintia Hills","Amlarem Block","Muktapur SC",25.167833,92.127167,9
"South Garo Hills","Rongara Block","Dambuk Aga SC",25.18,90.72,10
"East Khasi Hills","Shella Bholaganj Block","Sohlap SC",25.18,91.65,4
"East Jaintia Hills","Khliehriat Block","Khaddum SC",25.18,92.48,9
"South West Khasi Hills","Ranikor Block","Maheshkola SC",25.18545,90.974047,10
"South Garo Hills","Rongara Block","Nekora SC",25.187917,90.971889,10
"South Garo Hills","Rongara Block","Balpakram SC",25.188889,90.864472,10
"South West Khasi Hills","Ranikor Block","Gillagora SC",25.19,91.03,10
"South West Khasi Hills","Ranikor Block","Puksora SC",25.19,91.31,8
"East Jaintia Hills","Khliehriat Block","Lama SC",25.19,92.25,9
"South Garo Hills","Rongara Block","Mohadeo St. Dispy",25.191583,90.882667,10
"South Garo Hills","Baghmara Block","Nilwagre SC",25.191889,90.57375,10
"East Khasi Hills","Shella Bholaganj Block","Wahlong SC",25.2,91.72,4
"West Jaintia Hills","Amlarem Block","Syndai SC",25.2,92.13,9
"West Jaintia Hills","Amlarem Block","Tarangblang SC",25.2,92.19,9
"East Jaintia Hills","Khliehriat Block","Ummat SC",25.2,92.26,9
"South Garo Hills","Gasuapara Block","Jatrakona SC",25.202083,90.29375,7
"South Garo Hills","Gasuapara Block","Gasuapara SC",25.202472,90.340583,7
"South Garo Hills","Baghmara Block","Emangre SC",25.21,90.59,10
"East Khasi Hills","Shella Bholaganj Block","Laityra SC",25.21,91.73,4
"East Khasi Hills","Pynursla Block","Nongtyngur SC",25.21,91.93,4
"West Jaintia Hills","Amlarem Block","Sohkha SC",25.21,92.05,9
"West Jaintia Hills","Amlarem Block","Darrang SC",25.21,92.01,9
"South West Khasi Hills","Ranikor Block","Khonjoy SC",25.21,91.06,10
"South West Khasi Hills","Ranikor Block","Nonghyllam SC",25.21,91.16,8
"East Jaintia Hills","Khliehriat Block","Chiehruphi SC",25.21,92.37,9
"East Khasi Hills","Mawsynram Block","Sawsymper SC",25.22,91.55,4
"East Khasi Hills","Shella Bholaganj Block","Mustoh SC",25.22,91.65,4
"East Khasi Hills","Mawsynram Block","Nongtrai SC",25.22,91.6,4
"West Jaintia Hills","Amlarem Block","Lamin SC",25.22,92.01,9
"South Garo Hills","Gasuapara Block","Dimapara SC",25.229333,90.249083,7
"East Khasi Hills","Mawsynram Block","Lawbah SC",25.23,91.58,4
"East Jaintia Hills","Saipung Block","Muallian SC",25.23,92.49,9
"East Jaintia Hills","Saipung Block","Ryngkoh SC",25.23,92,4
"West Garo Hills","Dalu Block","Sesengpara SC",25.234,90.1236,11
"South Garo Hills","Baghmara Block","Mindikgre SC",25.24,90.56,10
"East Khasi Hills","Shella Bholaganj Block","Tyrna SC",25.24,91.74,4
"East Khasi Hills","Mawsynram Block","Phlangwanbroi SC",25.24,91.49,4
"South West Khasi Hills","Mawkyrwat Block","Phlangdiloin SC",25.24,91.16,8
"South West Khasi Hills","Mawkyrwat Block","Umjarain SC",25.24,91.32,8
"West Garo Hills","Dalu Block","Jijikapara SC",25.25,90.23,7
"East Khasi Hills","Mawphlang Block","Mawngap SC",25.25,92.04,9
"West Jaintia Hills","Amlarem Block","Nongbareh SC",25.25,92.02,9
"South West Khasi Hills","Ranikor Block","Mawpud SC",25.25,91.21,8
"West Jaintia Hills","Amlarem Block","Khonglah SC",25.252639,92.009556,9
"South Garo Hills","Rongara Block","Rongru Asim SC",25.256556,90.694361,10
"East Khasi Hills","Mawsynram Block","Tyngnger SC",25.26,91.6,4
"South West Khasi Hills","Ranikor Block","Nongkulang SC",25.26,91.06,8
"South Garo Hills","Gasuapara Block","Rugapara SC",25.263194,90.272611,7
"West Garo Hills","Dalu Block","Halchati SC",25.2642,90.0692,11
"East Khasi Hills","Shella Bholaganj Block","Rumnong SC",25.27,91.65,4
"East Jaintia Hills","Saipung Block","Muaslei SC",25.27,92.74,9
"South Garo Hills","Baghmara Block","Karukol SC",25.28,90.65,10
"South Garo Hills","Chokpot Block","Mitapgre SC",25.28,90.42,7
"East Khasi Hills","Laitkroh Block","Mawbeh SC",25.28,91.72,4
"East Khasi Hills","Pynursla Block","Pyrnai SC",25.28,91.84,4
"South Garo Hills","Baghmara Block","Nengkong SC",25.29,90.56,10
"East Khasi Hills","Shella Bholaganj Block","Wahkaliar SC",25.29,91.67,4
"East Khasi Hills","Shella Bholaganj Block","Upper Cherra SC",25.29,91.73,4
"East Khasi Hills","Mawsynram Block","Thieddieng SC",25.29,91.55,4
"South West Khasi Hills","Mawkyrwat Block","Photjaud SC",25.29,91.26,8
"South West Khasi Hills","Mawkyrwat Block","Wahkaji SC",25.29,91.13,8
"West Garo Hills","Dalu Block","Posenggagre SC",25.3,90.12,11
"West Garo Hills","Dalu Block","Rimrangpara SC",25.3,90.26,7
"East Jaintia Hills","Khliehriat Block","Iapmala SC",25.3,92.28,9
"South Garo Hills","Baghmara Block","Rongsu Agal SC",25.31,90.79,10
"East Khasi Hills","Laitkroh Block","Mawlyndiar SC",25.31,91.74,4
"East Jaintia Hills","Saipung Block","Lelad SC",25.31,92.52,9
"West Garo Hills","Dalu Block","Sandongdapgre SC",25.32,90.11,11
"East Khasi Hills","Laitkroh Block","Kongthong SC",25.32,91.81,4
"East Khasi Hills","Shella Bholaganj Block","Mawphu SC",25.32,91.65,4
"East Khasi Hills","Mawsynram Block","Syntein SC",25.32,91.56,4
"West Khasi Hills","Nongstoin Block","Mawkadiang SC",25.32,91.13,8
"South West Khasi Hills","Mawkyrwat Block","Rangblang SC",25.32,91.17,8
"South West Khasi Hills","Mawkyrwat Block","Umdohlun SC",25.32,91.17,8
"South West Khasi Hills","Ranikor Block","Nongnah SC",25.32,91.26,8
"East Jaintia Hills","Khliehriat Block","Byndihati SC",25.32,92.36,9
"East Jaintia Hills","Saipung Block","Thuruk SC",25.32,92.7,9
"South West Garo Hills","Zikzak Block","Gopinathkilla SC",25.3215,89.9411,11
"West Khasi Hills","Mawthadraishan Block","Sohkrot SC",25.33,91.29,8
"South Garo Hills","Chokpot Block","Kenegre SC",25.33,90.45,7
"South Garo Hills","Chokpot Block","Asakgre SC",25.33,90.49,7
"East Khasi Hills","Laitkroh Block","Mawkma SC",25.33,91.74,4
"East Khasi Hills","Mawkynrew Block","Nohron SC",25.33,92.03,9
"South West Garo Hills","Zikzak Block","Debajani SC",25.33,89.9,11
"East Jaintia Hills","Khliehriat Block","Rngad SC",25.33,92.24,9
"East Jaintia Hills","Saipung Block","Sakhain SC",25.33,92.41,9
"East Jaintia Hills","Khliehriat Block","Kairang SC",25.34,92.33,9
"East Jaintia Hills","Saipung Block","Moolamylliang SC",25.34,92.46,9
"West Garo Hills","Dalu Block","Joshipara SC",25.35,89.93,11
"West Garo Hills","Dalu Block","Chengapara SC",25.35,90.05,11
"West Garo Hills","Dalu Block","Gonchudare SC",25.35,90.16,7
"East Khasi Hills","Pynursla Block","Lyngkyrdem SC",25.35,91.88,4
"East Khasi Hills","Mawkynrew Block","Mawlat SC",25.35,91.96,4
"East Khasi Hills","Urban Block","Jaiaw UHC",25.35,91.52,4
"East Jaintia Hills","Saipung Block","Shnong Rim SC",25.35,92.57,9
"West Garo Hills","Dalu Block","Sangknigre SC",25.36,90.31,7
"South Garo Hills","Chokpot Block","Rongsibogre SC",25.36,90.39,7
"East Khasi Hills","Laitkroh Block","Wahkhen SC",25.36,91.84,4
"South West Garo Hills","Zikzak Block","Gilajuri SC",25.36,89.83,11
"East Jaintia Hills","Khliehriat Block","Moolamanoh SC",25.36,92.3,9
"South Garo Hills","Chokpot Block","Ganchikalak SC",25.37,90.36,7
"East Khasi Hills","Laitkroh Block","Mawrah SC",25.37,91.78,4
"West Jaintia Hills","Amlarem Block","Mupyut SC",25.37,92.13,9
"South West Garo Hills","Zikzak Block","Anangpara SC",25.37,90.12,11
"South West Khasi Hills","Mawkyrwat Block","Nongsynrih SC",25.37,91.37,8
"South West Khasi Hills","Mawkyrwat Block","Phlangkynshi SC",25.37,91.51,4
"South West Garo Hills","Zikzak Block","Hulukona SC",25.37,89.92,11
"East Jaintia Hills","Khliehriat Block","Dkhiah SC",25.37,92.35,9
"West Jaintia Hills","Thadlaskein Block","Sanaro SC",25.38,92.22,9
"West Garo Hills","Tura Urban Block","Sampalgre UHC",25.38,90.2,7
"West Khasi Hills","Nongstoin Block","Porkhadoh SC",25.38,91.06,8
"South West Khasi Hills","Mawkyrwat Block","Jakrem SC",25.38,91.48,4
"East Jaintia Hills","Khliehriat Block","Ladrymbai SC",25.38,92.3,9
"West Garo Hills","Gambegre Block","Chisakgre SC",25.39,90.19,7
"East Khasi Hills","Mawkynrew Block","Mawlyngngot SC",25.39,91.92,4
"West Jaintia Hills","Thadlaskein Block","Mustem SC",25.39,92.21,9
"South West Khasi Hills","Mawkyrwat Block","Sngimawlein SC",25.39,91.42,8
"East Jaintia Hills","Khliehriat Block","Iongkaluh SC",25.39,92.28,9
"East Jaintia Hills","Saipung Block","Mulait SC",25.39,92.5,9
"East Khasi Hills","Laitkroh Block","Lad Mawphlang SC",25.4,91.76,4
